Diretorio,Estacao,Ano,Mes,Arquivo.zip,Arquivo_extraido,Tamanho_Bytes,Status,Msg_Erro,Processado
met,Alto_da_boa_vista,2001,11,dados_meteorologicos_2001.zip,alto_da_boa_vista_200111_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2001,12,dados_pluviometricos_2001.zip,alto_da_boa_vista_200112_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2001,12,dados_meteorologicos_2001.zip,alto_da_boa_vista_200112_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2002,1,dados_pluviometricos_2002.zip,alto_da_boa_vista_200201_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2002,1,dados_meteorologicos_2002.zip,alto_da_boa_vista_200201_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2002,2,dados_pluviometricos_2002.zip,alto_da_boa_vista_200202_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2002,2,dados_meteorologicos_2002.zip,alto_da_boa_vista_200202_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2002,3,dados_pluviometricos_2002.zip,alto_da_boa_vista_200203_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2002,3,dados_meteorologicos_2002.zip,alto_da_boa_vista_200203_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2002,4,dados_pluviometricos_2002.zip,alto_da_boa_vista_200204_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2002,4,dados_meteorologicos_2002.zip,alto_da_boa_vista_200204_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2002,5,dados_pluviometricos_2002.zip,alto_da_boa_vista_200205_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2002,5,dados_meteorologicos_2002.zip,alto_da_boa_vista_200205_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2002,6,dados_pluviometricos_2002.zip,alto_da_boa_vista_200206_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2002,6,dados_meteorologicos_2002.zip,alto_da_boa_vista_200206_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2002,7,dados_pluviometricos_2002.zip,alto_da_boa_vista_200207_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2002,7,dados_meteorologicos_2002.zip,alto_da_boa_vista_200207_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2002,8,dados_pluviometricos_2002.zip,alto_da_boa_vista_200208_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2002,8,dados_meteorologicos_2002.zip,alto_da_boa_vista_200208_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2002,9,dados_pluviometricos_2002.zip,alto_da_boa_vista_200209_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2002,9,dados_meteorologicos_2002.zip,alto_da_boa_vista_200209_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2002,10,dados_pluviometricos_2002.zip,alto_da_boa_vista_200210_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2002,10,dados_meteorologicos_2002.zip,alto_da_boa_vista_200210_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2002,11,dados_pluviometricos_2002.zip,alto_da_boa_vista_200211_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2002,11,dados_meteorologicos_2002.zip,alto_da_boa_vista_200211_Met.txt,299,SUCESSO,,
plv,Alto_da_boa_vista,2002,12,dados_pluviometricos_2002.zip,alto_da_boa_vista_200212_Plv.txt,190,SUCESSO,,
met,Alto_da_boa_vista,2002,12,dados_meteorologicos_2002.zip,alto_da_boa_vista_200212_Met.txt,299,SUCESSO,,
